Head Reachable,Food Reachable,Plan Length,Comfort,Utensil,Food x,Food y,Food z,Food qx,Food qy,Food qz,Food qw,Head x,Head y,Head z,Head qx,Head qy,Head qz,Head qw
True,True,3.894671604266138,,new,0.5410885061964363,0.453957342752774,0.2004097352393619,0.0,1.0,0.0,6.123233995736766e-17,-0.2690216515428321,0.5787780334453568,0.6247590102670499,0.5430669152306155,-0.452976829316255,-0.4239041901736813,0.565858246593342
True,True,7.891604879824803,1.8873454034141848,new,0.5939810717600817,0.5825511154555443,0.2060663577576718,0.0,1.0,0.0,6.123233995736766e-17,-0.2842569561974222,0.5305275217915582,0.6161855642504578,-0.4541500907449406,0.5419928262883251,0.5370532282712132,-0.4599622825100163
True,True,5.669878196973,2.136028588071678,new,0.5688489682951996,0.5087249982930846,0.2093507242378776,0.0,1.0,0.0,6.123233995736766e-17,-0.2828308999221897,0.5411756419469899,0.6449540050339144,0.5055791123436004,-0.4943305941632199,-0.4886856133582626,0.5110903991788089
True,True,7.552317669021685,3.1110555194496308,new,0.3508215500510444,0.5714808553175139,0.2003358557530546,0.0,1.0,0.0,6.123233995736766e-17,-0.2788863114218133,0.5161274884062853,0.6297225240109152,-0.446420730164462,0.5483949614327521,0.5648731670481009,-0.4253114189669111
True,True,4.938306043150106,,new,0.5688966339289833,0.4351311241205118,0.2086317892234988,0.0,1.0,0.0,6.123233995736766e-17,-0.2836723619560994,0.5351413751188515,0.6186621435480713,-0.4751439551527801,0.5236776102532428,0.5207737117882201,-0.4783249141656175
True,True,7.32499812426498,3.425982050896894,new,0.4399135671612154,0.4845374442395317,0.2002831967114546,0.0,1.0,0.0,6.123233995736766e-17,-0.2870108134517483,0.528093854823674,0.6129248569572058,-0.4573545052793852,0.5392830113057588,0.5264088900103164,-0.4721169036750836
True,True,6.383616221770102,1.7646688741028165,new,0.3872849829498692,0.5341248829387261,0.2064718951157425,0.0,1.0,0.0,6.123233995736766e-17,-0.2827493776758886,0.5409595501310305,0.6437544843612494,0.50347254041805,-0.4965160370452718,-0.4889920575264074,0.5107582536562129
True,True,3.788038630787211,,new,0.465103266278565,0.5994419871578422,0.2098083533877623,0.0,1.0,0.0,6.123233995736766e-17,-0.2806454693754291,0.5504156526619198,0.6285001400421149,0.524931139082514,-0.4737634051800209,-0.4812735469637165,0.5180456622024059
True,True,4.64043872784431,3.993217515524217,new,0.5556625953442085,0.5300918552535633,0.2068844673057094,0.0,1.0,0.0,6.123233995736766e-17,-0.280140681700307,0.4986716531061932,0.6286515995904604,-0.3896318393164807,0.5901206070960432,0.6091840134639849,-0.3589422469024299
True,True,7.167425420893093,6.915990315323296,new,0.3905289515067233,0.5442976680388163,0.2052535432247572,0.0,1.0,0.0,6.123233995736766e-17,-0.2842826935236134,0.5342052901293852,0.6152797419647492,-0.4611912804893427,0.5359831421883261,0.5106273686302423,-0.4891670108421907
True,True,3.837314444499364,,new,0.4430725626676867,0.4971670717663578,0.20889487834349,0.0,1.0,0.0,6.123233995736766e-17,-0.2690216515428321,0.5787780334453568,0.6247590102670499,0.5430669152306155,-0.452976829316255,-0.4239041901736813,0.565858246593342
True,True,8.797549524455347,6.4188453375861405,new,0.4573385590127211,0.5143059661459521,0.2032186939107594,0.0,1.0,0.0,6.123233995736766e-17,-0.2764908480153172,0.5165954960018626,0.6238015268593549,-0.4216076177842954,0.5676707477100617,0.5606423956017594,-0.4309025911670422
True,True,4.4872042762417275,1.9300936257009784,new,0.5282900090599091,0.4675822451014266,0.2039161900052816,0.0,1.0,0.0,6.123233995736766e-17,-0.2858825017059039,0.5364538542357323,0.6013332688472584,0.4630650941250617,-0.5341069354572745,-0.4946918361821248,0.5055496882742037
True,True,12.113832966538247,,new,0.4181472780600139,0.5246374289372084,0.2008401534358238,0.0,1.0,0.0,6.123233995736766e-17,-0.280149399491777,0.5128438782406115,0.6215695792322473,-0.4027203430448966,0.5812202311075972,0.5740222050750298,-0.4129138848838009
True,True,10.312756604052796,,new,0.5997932442960193,0.5574196614977367,0.2023936944299295,0.0,1.0,0.0,6.123233995736766e-17,-0.282965593561769,0.5146100433375815,0.622588225604066,-0.448544724233598,0.5466565829838876,0.5809566676942619,-0.4030676877450792
True,True,8.240074304850603,,new,0.3675704104415583,0.4672234121091321,0.2015027946689484,0.0,1.0,0.0,6.123233995736766e-17,-0.2800013067742738,0.5348869337022203,0.6203366376306654,-0.454254675737911,0.5419117689979699,0.5034132647973575,-0.4965474891868871
True,True,7.323213802394195,,new,0.4851018099947861,0.5592648540574588,0.2023064220899375,0.0,1.0,0.0,6.123233995736766e-17,-0.2844767804862422,0.5314546678323068,0.6139253480399305,-0.4649526959326454,0.5327392894737449,0.5214474256660494,-0.477598599518701
True,True,3.8865758856083383,,new,0.4713655519464584,0.4397026089018511,0.2009075304561912,0.0,1.0,0.0,6.123233995736766e-17,-0.2699149374355536,0.5724562818444399,0.6273774168521633,0.5340315932656131,-0.4636564539793722,-0.4318543912698431,0.5597631059818241
True,True,5.667760750394509,,new,0.5240997157960552,0.4597392265637845,0.2067199487795636,0.0,1.0,0.0,6.123233995736766e-17,-0.2790266127066731,0.5116525363578297,0.6228815233155873,-0.4069461871330093,0.5782689297560116,0.5763308148178717,-0.4096860231300437
True,True,6.512866140919153,2.9187363816895626,new,0.6326339331519494,0.4730220336489657,0.2010549527957023,0.0,1.0,0.0,6.123233995736766e-17,-0.2761981296576368,0.5131303195888249,0.6217432522617511,-0.4224353512457806,0.5670532513077093,0.5618788905096669,-0.4292913889176392
True,True,5.446410693956457,2.5201062951139277,new,0.5387324454619128,0.5854309106135734,0.2044037715471578,0.0,1.0,0.0,6.123233995736766e-17,-0.2732603926438151,0.5267218044701253,0.6243153324070969,-0.386312844829967,0.5924765352828658,0.5334673417228631,-0.4638389120952778
True,True,3.4634328480899006,,new,0.5410885061964363,0.453957342752774,0.2004097352393619,0.0,1.0,0.0,6.123233995736766e-17,-0.2690216515428321,0.5787780334453568,0.6247590102670499,0.5430669152306155,-0.452976829316255,-0.4239041901736813,0.565858246593342
True,True,8.004375576515676,6.239245284057781,new,0.5939810717600817,0.5825511154555443,0.2060663577576718,0.0,1.0,0.0,6.123233995736766e-17,-0.2842569561974222,0.5305275217915582,0.6161855642504578,-0.4541500907449406,0.5419928262883251,0.5370532282712132,-0.4599622825100163
