step,file,event,trigger,trigger_kind,stage,acc_before,acc_after,pos,neg,lat,correlated_detail
0,20260717_134148.txt,INIT,,,,,1,,,,
1,20260717_134225.txt,correction,confirm_navigation_arrival,categorical,Initial,1,1,0,1,0,detect_user_completed_transfer_wiping:button->perception(NEG)
2,20260717_134301.txt,correction,detect_user_completed_transfer_wiping,categorical,Table prefs / feeding loop,1,2,0,0,0,
